iter	RMSE
0	0.2362714626
1	0.2339258089
2	0.2316293294
3	0.2298359775
4	0.2278557262
5	0.2261877484
6	0.2247271819
7	0.2233714624
8	0.222253796
9	0.2210849967
10	0.220021192
11	0.2191089531
12	0.2182105659
13	0.2173105537
14	0.2165322064
15	0.215863608
16	0.2151066794
17	0.2143820646
18	0.2137630358
19	0.2132818335
20	0.2127945875
21	0.2123772325
22	0.2119352025
23	0.2115541072
24	0.2111496885
25	0.2108577189
26	0.2104926352
27	0.2100997545
28	0.2098425102
29	0.2095669649
30	0.2092688727
31	0.209013343
32	0.2087855744
33	0.2085624315
34	0.2083090777
35	0.2080921895
36	0.2078865982
37	0.2076742361
38	0.2074939365
39	0.2073083422
40	0.2071161715
41	0.2069343172
42	0.2067384365
43	0.2066083724
44	0.2064779991
45	0.2062558771
46	0.2061286578
47	0.206017117
48	0.2059002467
49	0.2057300855
50	0.2055988014
51	0.2054205789
52	0.205274604
53	0.2051202699
54	0.2049895606
55	0.2048457247
56	0.2047573486
57	0.2046390637
58	0.2045133854
59	0.2044073217
60	0.2042980815
61	0.2041989129
62	0.2041079902
63	0.2039875182
64	0.2038638399
65	0.2037246124
66	0.2035986141
67	0.2035197717
68	0.2034686297
69	0.2033703314
70	0.2033071935
71	0.2032248389
72	0.203160011
73	0.2030838689
74	0.2030118778
75	0.2029447118
76	0.2028541591
77	0.2027337911
78	0.202660312
79	0.2025673264
80	0.2024705443
81	0.202408424
82	0.2023658703
83	0.2023149279
84	0.202248237
85	0.2021607826
86	0.2020887656
87	0.2020275945
88	0.2019608666
89	0.2019142899
90	0.2018457482
91	0.2017975794
92	0.2017330306
93	0.2016566698
94	0.2016012718
95	0.2015084991
96	0.2014308023
97	0.2013772777
98	0.2013014983
99	0.2012610986
100	0.2012129438
101	0.201167559
102	0.2011118433
103	0.2010593975
104	0.2010205157
105	0.2009226077
106	0.200830195
107	0.2007877684
108	0.2007478221
109	0.2006919786
110	0.2006418121
111	0.2006028568
112	0.2005457738
113	0.2004705116
114	0.2004067439
115	0.2003207765
116	0.2002672756
117	0.2002186201
118	0.2001541847
119	0.2000955155
120	0.2000179982
121	0.1999644957
122	0.1999266289
123	0.1998854181
124	0.1998158841
125	0.1997476348
126	0.1997201454
127	0.1996383514
128	0.1995653781
129	0.1994747193
130	0.1994241455
131	0.1993508226
132	0.1993110871
133	0.1992339489
134	0.1991862021
135	0.1991230165
136	0.1990866956
137	0.1990336125
138	0.1989669729
139	0.1989133254
140	0.1988719357
141	0.1988207025
142	0.1987570576
143	0.1987081126
144	0.1986281121
145	0.1985428859
146	0.1985056978
147	0.1984447642
148	0.1984093945
149	0.1983658465
150	0.1983089443
151	0.1982348152
152	0.1982035558
153	0.1981409177
154	0.1980802077
155	0.1980336081
156	0.1979949051
157	0.1979539991
158	0.197915802
159	0.1978554829
160	0.1978036628
161	0.1977472649
162	0.197696542
163	0.1976469633
164	0.1975861953
165	0.1974983925
166	0.1974318632
167	0.1973792199
168	0.1973294191
169	0.1972664106
170	0.197202867
171	0.1971314742
172	0.1970748513
173	0.1970244786
174	0.1969622451
175	0.1969207936
176	0.1968651834
177	0.1967933469
178	0.196736361
179	0.1966752074
180	0.1966363545
181	0.1965874193
182	0.1965446092
183	0.1964964926
184	0.196439724
185	0.196366374
186	0.1962987662
187	0.1962219256
188	0.1961813541
189	0.1961453033
190	0.1961020248
191	0.1960392633
192	0.1959812309
193	0.1959140814
194	0.1958690862
195	0.1958175696
196	0.1957612994
197	0.1957198081
198	0.1956668903
199	0.1956214754
200	0.1955478863
201	0.1954884539
202	0.1954500363
203	0.1953979631
204	0.1953372124
205	0.1952802718
206	0.1952414096
207	0.1951692656
208	0.1951220956
209	0.1950925614
210	0.1950392302
211	0.1949843318
212	0.1949113341
213	0.1948580464
214	0.1947991874
215	0.1947418514
216	0.1947037195
217	0.1946706954
218	0.1946386506
219	0.1945851765
220	0.1945301546
221	0.1944897081
222	0.1944600389
223	0.194409092
224	0.1943833439
225	0.1943519107
226	0.194303654
227	0.1942381241
228	0.194189398
229	0.1941460515
230	0.1940984244
231	0.1940412574
232	0.1939662114
233	0.193909671
234	0.193873268
235	0.1938290483
236	0.1937696685
237	0.1937239219
238	0.1936937686
239	0.1936467351
240	0.1935917356
241	0.1935586341
242	0.1935308797
243	0.1934693338
244	0.1933980217
245	0.1933426515
246	0.1933100957
247	0.1932715476
248	0.1932322764
249	0.193200694
250	0.1931297508
251	0.1930811703
252	0.1930195086
253	0.1929920539
254	0.1929253263
255	0.192872365
256	0.192825708
257	0.1927805102
258	0.1927343587
259	0.192708367
260	0.1926527783
261	0.1926049017
262	0.1925621989
263	0.1925260303
264	0.192473265
265	0.1924442617
266	0.192390249
267	0.1923360047
268	0.1922892964
269	0.1922571431
270	0.192195348
271	0.1921390921
272	0.1921061836
273	0.1920607999
274	0.1920200929
275	0.1919905782
276	0.1919379785
277	0.1918837344
278	0.1918648772
279	0.1918414277
280	0.1918157048
281	0.1917774222
282	0.191736656
283	0.1917022165
284	0.1916540044
285	0.191601261
286	0.1915564518
287	0.1914986068
288	0.1914588309
289	0.191415499
290	0.1913648043
291	0.1913280457
292	0.1912887724
293	0.1912329089
294	0.1911870217
295	0.1911422801
296	0.1911188245
297	0.1910936277
298	0.1910507323
299	0.1910069252
300	0.1909568878
301	0.1909215399
302	0.1908905807
303	0.1908498641
304	0.1908043244
305	0.1907756908
306	0.1907226428
307	0.1906819943
308	0.1906623389
309	0.1906066348
310	0.1905660372
311	0.1905281165
312	0.1904799818
313	0.1904354952
314	0.1904037239
315	0.1903674965
316	0.1903197957
317	0.1902744699
318	0.1902311995
319	0.190190547
320	0.1901399732
321	0.1901081207
322	0.1900694483
323	0.1900387172
324	0.189983363
325	0.1899455235
326	0.1899287275
327	0.1899101755
328	0.1898654582
329	0.1898211376
330	0.1897916992
331	0.1897446237
332	0.1897246698
333	0.1896804793
334	0.189636087
335	0.189604862
336	0.1895583055
337	0.1895043583
338	0.1894743023
339	0.18942544
340	0.1894032516
341	0.1893495116
342	0.1893065969
343	0.1892778306
344	0.189254019
345	0.1892056244
346	0.1891788343
347	0.1891404013
348	0.1891004026
349	0.1890710207
350	0.1890402745
351	0.1890175681
352	0.1889945137
353	0.1889625691
354	0.1889239234
355	0.1888861595
356	0.1888714346
357	0.1888280676
358	0.1887851753
359	0.1887419164
360	0.1887020002
361	0.1886641223
362	0.188631625
363	0.1886034456
364	0.1885623486
365	0.1885268779
366	0.1884770709
367	0.1884553326
368	0.1884051246
369	0.1883712165
370	0.1883139747
371	0.1882715948
372	0.1882390721
373	0.1882031247
374	0.1881595274
375	0.1881336569
376	0.1880942486
377	0.1880742326
378	0.1880467408
379	0.1880109835
380	0.1879831517
381	0.1879615794
382	0.1879316893
383	0.1878801271
384	0.1878632332
385	0.1878214136
386	0.187790762
387	0.1877798045
388	0.1877513891
389	0.1877195739
390	0.1876805853
391	0.1876329364
392	0.1875822356
393	0.1875568021
394	0.1875151349
395	0.1874723546
396	0.1874159021
397	0.1873820627
398	0.1873496957
399	0.1873095917
400	0.187277958
401	0.1872324067
402	0.1871810984
403	0.1871444803
404	0.1871021084
405	0.1870810373
406	0.1870458429
407	0.187000056
408	0.1869747151
409	0.1869309664
410	0.1868868017
411	0.1868454156
412	0.1867889632
413	0.1867395304
414	0.1867040604
415	0.1866713305
416	0.1866364818
417	0.1866035662
418	0.1865712903
419	0.1865354396
420	0.1864889443
421	0.1864562098
422	0.1864272648
423	0.1864051015
424	0.186358036
425	0.1863297113
426	0.1862806552
427	0.1862444265
428	0.186201538
429	0.1861636627
430	0.1861343256
431	0.1861085941
432	0.1860886424
433	0.186062377
434	0.1860097778
435	0.1859714594
436	0.1859324125
437	0.1859023206
438	0.1858782785
439	0.1858266905
440	0.1857869003
441	0.185743312
442	0.1857036316
443	0.1856683827
444	0.1856326008
445	0.1856041146
446	0.1855733955
447	0.1855339432
448	0.1854966799
449	0.1854640856
450	0.1854214736
451	0.1853807198
452	0.1853409531
453	0.1853049497
454	0.1852667488
455	0.1852291469
456	0.1852092509
457	0.1851607525
458	0.1851357684
459	0.18509417
460	0.1850534075
461	0.185018656
462	0.1850006924
463	0.1849597842
464	0.1849265642
465	0.184901044
466	0.1848699391
467	0.1848276043
468	0.1847917565
469	0.1847513658
470	0.1847281273
471	0.1846991309
472	0.1846690123
473	0.1846408858
474	0.1845900021
475	0.184559397
476	0.1845239236
477	0.1844899656
478	0.1844464712
479	0.1844079518
480	0.1843646972
481	0.1843436072
482	0.1843145869
483	0.1842787174
484	0.1842459713
485	0.1842043159
486	0.1841541976
487	0.1841251947
488	0.1840927485
489	0.1840673288
490	0.184038118
491	0.1840009076
492	0.1839754749
493	0.1839404194
494	0.183911368
495	0.1838764118
496	0.1838264798
497	0.1837796456
498	0.1837571062
499	0.183719518
500	0.1836857351
501	0.1836503792
502	0.1836254498
503	0.1835905239
504	0.1835607768
505	0.1835213735
506	0.1834818129
507	0.1834669173
508	0.1834329638
509	0.1834095217
510	0.1833717341
511	0.1833345294
512	0.1833051165
513	0.1832690671
514	0.1832459557
515	0.1832104978
516	0.1831873999
517	0.1831469432
518	0.1831086616
519	0.1830662392
520	0.1830291015
521	0.1829971863
522	0.182964799
523	0.1829357628
524	0.1828975422
525	0.1828517152
526	0.1828292175
527	0.1827982115
528	0.1827611893
529	0.1827247018
530	0.1826857099
531	0.182646638
532	0.1826146328
533	0.1825752402
534	0.1825316043
535	0.1825097185
536	0.1824771372
537	0.1824436003
538	0.182409689
539	0.1823739849
540	0.182342071
541	0.182298557
542	0.182264332
543	0.1822182627
544	0.1821864269
545	0.1821631349
546	0.1821361817
547	0.1821222574
548	0.1820971645
549	0.1820694076
550	0.1820432043
551	0.1820198627
552	0.181996544
553	0.1819626147
554	0.1819283199
555	0.181909176
556	0.1818829418
557	0.1818565055
558	0.1818302675
559	0.1818120585
560	0.181778922
561	0.1817354493
562	0.1817016382
563	0.1816685344
564	0.1816448647
565	0.1816208302
566	0.1815826295
567	0.181553083
568	0.18151053
569	0.1814786901
570	0.1814587559
571	0.1814237195
572	0.1813792605
573	0.1813489932
574	0.1813192732
575	0.1812985844
576	0.181271432
577	0.1812443625
578	0.1812175966
579	0.1811723609
580	0.1811468432
581	0.181125398
582	0.181093454
583	0.1810759803
584	0.1810435819
585	0.181003175
586	0.1809933935
587	0.180943603
588	0.180921143
589	0.1809004592
590	0.1808806407
591	0.1808434607
592	0.1808155533
593	0.1807939554
594	0.1807671398
595	0.1807264033
596	0.180694352
597	0.1806709874
598	0.1806368969
599	0.1806093045
600	0.1805651615
601	0.1805326715
602	0.1805022924
603	0.1804858081
604	0.1804443134
605	0.1804237715
606	0.180385175
607	0.1803509136
608	0.1803163844
609	0.1802857401
610	0.1802548289
611	0.1802261752
612	0.1801912079
613	0.1801448451
614	0.1801201512
615	0.1800904711
616	0.1800658311
617	0.180022448
618	0.180005455
619	0.1800017427
620	0.1799688396
621	0.179939453
622	0.1799159177
623	0.1798941594
624	0.1798540106
625	0.1798219298
626	0.1798071978
627	0.179780778
628	0.1797541901
629	0.1797165196
630	0.1796763354
631	0.1796433314
632	0.1796176062
633	0.1795854799
634	0.1795694617
635	0.1795451962
636	0.1795075338
637	0.1794864931
638	0.1794570692
639	0.179415107
640	0.1793834992
641	0.1793505088
642	0.1793287349
643	0.1793006625
644	0.1792513201
645	0.1792074832
646	0.1791816217
647	0.1791530532
648	0.1791257232
649	0.1790970936
650	0.179075303
651	0.1790611004
652	0.1790357013
653	0.1790072387
654	0.1789698765
655	0.1789328414
656	0.1789140256
657	0.1788825315
658	0.1788501734
659	0.1788244023
660	0.1787882104
661	0.1787421157
662	0.178727292
663	0.1787053701
664	0.1786696597
665	0.1786398234
666	0.1785914463
667	0.1785729977
668	0.1785398354
669	0.178511499
670	0.1784832246
