iter	Passed	Remaining
0	58	58770
1	60	30008
2	61	20381
3	62	15565
4	63	12681
5	64	10757
6	65	9358
7	67	8328
8	68	7519
9	69	6873
10	70	6336
11	71	5890
12	72	5512
13	73	5183
14	74	4893
15	75	4644
16	76	4422
17	77	4224
18	78	4049
19	79	3889
20	80	3748
21	81	3615
22	82	3510
23	83	3406
24	84	3303
25	85	3210
26	86	3121
27	87	3039
28	88	2967
29	89	2898
30	90	2836
31	91	2776
32	92	2718
33	93	2662
34	94	2618
35	96	2574
36	97	2527
37	98	2481
38	98	2437
39	99	2396
40	101	2363
41	102	2328
42	103	2301
43	104	2268
44	105	2237
45	106	2207
46	107	2178
47	108	2148
48	109	2121
49	110	2095
50	111	2070
51	112	2047
52	113	2024
53	114	2003
54	115	1980
55	116	1960
56	117	1940
57	118	1922
58	119	1903
59	120	1884
60	121	1868
61	122	1851
62	123	1837
63	124	1822
64	125	1810
65	127	1799
66	128	1786
67	129	1772
68	130	1759
69	131	1747
70	132	1735
71	133	1725
72	134	1712
73	136	1702
74	137	1693
75	138	1681
76	139	1670
77	140	1662
78	142	1660
79	143	1649
80	144	1638
81	145	1630
82	146	1620
83	147	1609
84	148	1599
85	149	1590
86	150	1582
87	151	1572
88	152	1565
89	153	1556
90	154	1547
91	155	1539
92	156	1530
93	158	1523
94	159	1515
95	160	1508
96	161	1500
97	162	1493
98	163	1490
99	165	1485
100	167	1487
101	168	1480
102	169	1473
103	170	1466
104	171	1459
105	172	1452
106	173	1446
107	174	1440
108	175	1434
109	176	1428
110	177	1422
111	178	1417
112	179	1411
113	180	1405
114	181	1399
115	182	1392
116	183	1386
117	184	1380
118	185	1375
119	186	1370
120	187	1364
121	188	1359
122	189	1354
123	190	1348
124	191	1343
125	192	1338
126	193	1333
127	195	1328
128	196	1324
129	197	1319
130	198	1315
131	199	1310
132	200	1306
133	201	1301
134	202	1297
135	203	1293
136	204	1289
137	205	1285
138	207	1282
139	208	1278
140	208	1273
141	209	1268
142	210	1264
143	212	1260
144	213	1257
145	214	1253
146	215	1249
147	216	1245
148	217	1241
149	218	1237
150	219	1233
151	220	1229
152	221	1226
153	222	1222
154	223	1218
155	224	1216
156	225	1212
157	226	1209
158	227	1205
159	229	1202
160	230	1199
161	231	1196
162	232	1192
163	233	1189
164	234	1186
165	235	1182
166	236	1178
167	237	1174
168	238	1171
169	239	1171
170	240	1168
171	241	1164
172	242	1161
173	244	1158
174	245	1156
175	246	1152
176	247	1149
177	248	1145
178	249	1143
179	250	1139
180	251	1137
181	252	1134
182	253	1131
183	254	1128
184	255	1125
185	256	1122
186	257	1120
187	258	1117
188	259	1115
189	261	1113
190	262	1110
191	263	1107
192	264	1105
193	265	1102
194	266	1099
195	267	1096
196	268	1093
197	269	1090
198	270	1088
199	271	1085
200	272	1083
201	273	1080
202	274	1077
203	275	1075
204	276	1073
205	277	1070
206	278	1067
207	279	1065
208	280	1063
209	281	1060
210	283	1060
211	284	1058
212	285	1056
213	286	1053
214	287	1051
215	288	1048
216	289	1046
217	291	1043
218	292	1041
219	293	1039
220	294	1037
221	295	1034
222	296	1032
223	297	1030
224	298	1029
225	299	1027
226	300	1024
227	302	1022
228	303	1020
229	304	1018
230	305	1016
231	306	1014
232	307	1012
233	308	1010
234	309	1007
235	310	1005
236	311	1002
237	312	1000
238	313	998
239	315	998
240	316	997
241	317	995
242	318	992
243	319	990
244	320	988
245	321	986
246	322	984
247	323	982
248	325	980
249	326	978
250	327	975
251	327	973
252	329	971
253	330	969
254	331	967
255	332	965
256	333	963
257	334	961
258	335	959
259	336	957
260	337	955
261	338	952
262	339	950
263	340	948
264	341	946
265	342	945
266	343	943
267	344	942
268	345	940
269	346	938
270	348	936
271	349	934
272	350	932
273	351	931
274	352	929
275	353	927
276	354	925
277	355	923
278	356	921
279	357	919
280	358	917
281	359	915
282	360	913
283	361	911
284	362	909
285	363	907
286	364	906
287	366	906
288	367	904
289	368	902
290	369	900
291	370	898
292	371	897
293	372	895
294	374	894
295	375	892
296	376	890
297	377	888
298	378	887
299	379	885
300	380	883
301	381	881
302	382	879
303	383	877
304	384	876
305	385	874
306	386	872
